id,completiontime,pagesubmitp,pagesubmit1,pagesubmit2,pagesubmit3,pagesubmit4,submissiontime,agenum,gender,gencond,condition,decision1,decision2,decision3,decision4,risktaking,posout,posfeel,negout,negfeel,recipient,experiencedemotions,interaction,gloomy,eggplant,nyc,attentioncheck,validity,excluded,submissiontimestat,code,zre_1,zre_2,recipient_mc,experiencedemotions_mc
947,859,69.509,210.225,150.717,117.038,166.283,713.772,18,1,5,1,1,0,1,0,2,3,3,1,0,0,0,0,1,1,1,1,1,0,1,10carter,-0.919094410330479,-0.919094410330479,0,0
951,1499,180.15,357.547,355.989,179.35,239.302,1312.338,28,1,5,1,1,1,0,1,3,5,5,2,2,0,0,0,1,1,1,1,1,0,1,a1238b0987,0.512160570103678,0.512160570103678,0,0
1004,3003,908.43,568.327,424.223,279.821,220.388,2401.189,32,1,5,1,1,0,0,0,1,3,4,5,4,0,0,0,1,1,1,1,1,0,1,a1234567,-0.931175620551088,-0.931175620551088,0,0
1005,681,85.852,120.08,109.123,118.155,98.403,531.613,31,1,5,1,0,1,0,1,2,4,4,5,5,0,0,0,1,1,1,1,1,0,1,151413dgh,0.263550398180811,0.263550398180811,0,0
1040,1273,192.965,233.65,254.141,214.77,243.552,1139.078,54,1,5,1,1,1,1,1,4,5,5,2,2,0,0,0,1,1,1,1,1,0,1,Mikyla19,1.47035762713332,1.47035762713332,0,0
1052,1298,226.875,180.285,208.499,241.373,210.99,1068.022,46,1,5,1,0,1,1,1,3,5,5,2,0,0,0,0,1,1,1,1,1,0,1,P683951237,0.0391026466991614,0.0391026466991619,0,0
1053,1182,362.84,160.41,163.888,140.469,169.038,996.645,61,1,5,1,1,0,1,1,3,4,4,2,2,0,0,0,1,1,1,1,1,0,1,kstar1234,0.512160570103678,0.512160570103678,0,0
1099,2002,207.387,381.908,308.549,514.58,376.242,1788.666,41,1,5,1,1,0,1,0,2,4,2,4,5,0,0,0,1,1,1,1,1,0,1,c1234567,0.263550398180811,0.263550398180811,0,0
1102,10419,556.075,1572.12,1938.939,1846.91,4245.403,10159.447,38,1,5,1,1,1,1,0,3,4,4,1,0,0,0,0,1,1,1,1,1,0,1,Msta1928,0.0391026466991614,0.0391026466991619,0,0
1136,1416,130.864,378.894,213.531,278.649,160.292,1162.23,19,1,5,1,1,0,1,1,3,5,3,1,3,0,0,0,1,1,1,1,1,0,1,A1B2C3D4,0.748689531805936,0.748689531805936,0,0
